         model effect_type                        metric         value            task
         FE+AR     tau_att     tau_rmse_avg_over_cohorts  1.246719e-01      placebo_te
         GP-CP     tau_att     tau_rmse_avg_over_cohorts  8.575299e-02      placebo_te
GP-CP-Extended     tau_att     tau_rmse_avg_over_cohorts  1.529418e-01      placebo_te
         FE+AR     tau_att tau_coverage_avg_over_cohorts  9.525000e-01      placebo_te
         GP-CP     tau_att tau_coverage_avg_over_cohorts  1.000000e+00      placebo_te
GP-CP-Extended     tau_att tau_coverage_avg_over_cohorts  1.000000e+00      placebo_te
         FE+AR     tau_att tau_ci_width_avg_over_cohorts  6.865705e-01      placebo_te
         GP-CP     tau_att tau_ci_width_avg_over_cohorts  4.929998e-01      placebo_te
GP-CP-Extended     tau_att tau_ci_width_avg_over_cohorts  8.414226e-01      placebo_te
         FE+AR     tau_att tau_ci_width_std_over_cohorts  4.319403e-01      placebo_te
         GP-CP     tau_att tau_ci_width_std_over_cohorts  3.880170e-01      placebo_te
GP-CP-Extended     tau_att tau_ci_width_std_over_cohorts  3.104404e-01      placebo_te
         FE+AR     tau_att                att_avg_over_t -2.201412e-01      placebo_te
         GP-CP     tau_att                att_avg_over_t -4.775601e-04      placebo_te
GP-CP-Extended     tau_att                att_avg_over_t -5.793552e-04      placebo_te
         FE+AR     tau_att               att_mae_vs_zero  2.201412e-01      placebo_te
         GP-CP     tau_att               att_mae_vs_zero  4.775601e-04      placebo_te
GP-CP-Extended     tau_att               att_mae_vs_zero  5.793552e-04      placebo_te
         FE+AR     tau_att              att_rmse_vs_zero  2.201412e-01      placebo_te
         GP-CP     tau_att              att_rmse_vs_zero  4.775601e-04      placebo_te
GP-CP-Extended     tau_att              att_rmse_vs_zero  5.793552e-04      placebo_te
         FE+AR     tau_att          att_coverage_vs_zero  0.000000e+00      placebo_te
         GP-CP     tau_att          att_coverage_vs_zero  1.000000e+00      placebo_te
GP-CP-Extended     tau_att          att_coverage_vs_zero  1.000000e+00      placebo_te
         FE+AR     tau_att       att_ci_width_avg_over_t  3.131491e-01      placebo_te
         GP-CP     tau_att       att_ci_width_avg_over_t  2.517348e-01      placebo_te
GP-CP-Extended     tau_att       att_ci_width_avg_over_t  3.017598e-01      placebo_te
