scenario,task,model,effect_type,metric,mean,std
B,fit,FE+AR,gamma,RMSE,0.8710308834535712,0.031931283069470365
B,fit,GP-CP,alpha,Bias,-4.7045700668491004e-17,1.7708758731473695e-16
B,fit,GP-CP,alpha,CI_Width,0.34178386910835645,0.01595168461225351
B,fit,GP-CP,alpha,Coverage,1.0,0.0
B,fit,GP-CP,alpha,RMSE,0.04511290519375398,0.006673965185615398
B,fit,GP-CP,beta,Bias,-3.4139358007223563e-17,7.33296611418079e-17
B,fit,GP-CP,beta,CI_Width,0.5267464540825484,0.013684187948621675
B,fit,GP-CP,beta,Coverage,1.0,0.0
B,fit,GP-CP,beta,RMSE,0.0868176990186347,0.013728644910214104
B,fit,GP-CP,gamma,Bias,7.031412489292657e-18,1.6258019106162533e-17
B,fit,GP-CP,gamma,CI_Width,,
B,fit,GP-CP,gamma,Coverage,0.0,0.0
B,fit,GP-CP,gamma,RMSE,0.8710308834535712,0.031931283069470365
B,fit,GP-CP-Extended,alpha,Bias,-8.1601392309949e-17,1.3695977467617403e-16
B,fit,GP-CP-Extended,alpha,CI_Width,0.12233445638954166,0.004384709294977194
B,fit,GP-CP-Extended,alpha,Coverage,0.96,0.04183300132670376
B,fit,GP-CP-Extended,alpha,RMSE,0.028095412940398502,0.005080085240576154
B,fit,GP-CP-Extended,beta,Bias,-6.453171330633723e-17,3.7440746643781743e-17
B,fit,GP-CP-Extended,beta,CI_Width,0.20135884044132127,0.00293300138945963
B,fit,GP-CP-Extended,beta,Coverage,0.9400000000000001,0.048016200969626444
B,fit,GP-CP-Extended,beta,RMSE,0.051081440955768574,0.009127486462019852
B,fit,GP-CP-Extended,gamma,Bias,-4.810966440042345e-18,2.6945611133991114e-17
B,fit,GP-CP-Extended,gamma,CI_Width,0.6820321866465329,0.012133826346342186
B,fit,GP-CP-Extended,gamma,Coverage,0.9483333333333335,0.01295022522326672
B,fit,GP-CP-Extended,gamma,RMSE,0.17484319342315593,0.0062253622861276345
B,placebo_te,FE+AR,tau_att,att_avg_over_t,0.11617119408527662,0.8259042116888178
B,placebo_te,FE+AR,tau_att,att_ci_width_avg_over_t,0.7736725075369986,0.10492070164322174
B,placebo_te,FE+AR,tau_att,att_coverage_vs_zero,0.2,0.4472135954999579
B,placebo_te,FE+AR,tau_att,att_mae_vs_zero,0.6507613922012832,0.41185490506929245
B,placebo_te,FE+AR,tau_att,att_rmse_vs_zero,0.6507613922012832,0.41185490506929245
B,placebo_te,FE+AR,tau_att,tau_ci_width_avg_over_cohorts,1.893902326135977,0.14693490619808422
B,placebo_te,FE+AR,tau_att,tau_ci_width_std_over_cohorts,0.9506546649643226,0.20571479995804756
B,placebo_te,FE+AR,tau_att,tau_coverage_avg_over_cohorts,0.9728333333333333,0.025170253607515878
B,placebo_te,FE+AR,tau_att,tau_mae_avg_over_cohorts,0.32363842015848243,0.02667377402111071
B,placebo_te,FE+AR,tau_att,tau_rmse_avg_over_cohorts,0.3448377915101041,0.027177077204957614
B,placebo_te,GP-CP,tau_att,att_avg_over_t,0.010619882553498229,0.027823418231582225
B,placebo_te,GP-CP,tau_att,att_ci_width_avg_over_t,0.6750702947455167,0.1003479021712882
B,placebo_te,GP-CP,tau_att,att_coverage_vs_zero,1.0,0.0
B,placebo_te,GP-CP,tau_att,att_mae_vs_zero,0.023887759716270003,0.01420699312220384
B,placebo_te,GP-CP,tau_att,att_rmse_vs_zero,0.023887759716270003,0.01420699312220384
B,placebo_te,GP-CP,tau_att,tau_ci_width_avg_over_cohorts,1.4434367985194079,0.12183435205024677
B,placebo_te,GP-CP,tau_att,tau_ci_width_std_over_cohorts,0.9509470937826429,0.20312337208869383
B,placebo_te,GP-CP,tau_att,tau_coverage_avg_over_cohorts,0.994,0.009472181492255196
B,placebo_te,GP-CP,tau_att,tau_mae_avg_over_cohorts,0.2196593747848749,0.05411349546105646
B,placebo_te,GP-CP,tau_att,tau_rmse_avg_over_cohorts,0.23756206070584684,0.056737432432977956
B,placebo_te,GP-CP-Extended,tau_att,att_avg_over_t,0.011255053872277451,0.024846828708149256
B,placebo_te,GP-CP-Extended,tau_att,att_ci_width_avg_over_t,0.9926958089731619,0.0693163511428043
B,placebo_te,GP-CP-Extended,tau_att,att_coverage_vs_zero,1.0,0.0
B,placebo_te,GP-CP-Extended,tau_att,att_mae_vs_zero,0.02274772841251668,0.011352808420162886
B,placebo_te,GP-CP-Extended,tau_att,att_rmse_vs_zero,0.02274772841251668,0.011352808420162886
B,placebo_te,GP-CP-Extended,tau_att,tau_ci_width_avg_over_cohorts,2.0262757473174915,0.08100023858644138
B,placebo_te,GP-CP-Extended,tau_att,tau_ci_width_std_over_cohorts,1.4433931817912284,0.1417300333839642
B,placebo_te,GP-CP-Extended,tau_att,tau_coverage_avg_over_cohorts,0.9918333333333333,0.005694783187756675
B,placebo_te,GP-CP-Extended,tau_att,tau_mae_avg_over_cohorts,0.2334871976450202,0.035191152920975986
B,placebo_te,GP-CP-Extended,tau_att,tau_rmse_avg_over_cohorts,0.27537364740163667,0.036325981889977425
