         model effect_type                        metric         value            task
GP-CP-Extended     tau_att tau_ci_width_std_over_cohorts  1.613058e+00      placebo_te
         FE+AR     tau_att                att_avg_over_t  1.078396e+00      placebo_te
         GP-CP     tau_att                att_avg_over_t -1.954731e-02      placebo_te
GP-CP-Extended     tau_att                att_avg_over_t -2.394246e-02      placebo_te
         FE+AR     tau_att               att_mae_vs_zero  1.078396e+00      placebo_te
         GP-CP     tau_att               att_mae_vs_zero  1.954731e-02      placebo_te
GP-CP-Extended     tau_att               att_mae_vs_zero  2.394246e-02      placebo_te
         FE+AR     tau_att              att_rmse_vs_zero  1.078396e+00      placebo_te
         GP-CP     tau_att              att_rmse_vs_zero  1.954731e-02      placebo_te
GP-CP-Extended     tau_att              att_rmse_vs_zero  2.394246e-02      placebo_te
         FE+AR     tau_att          att_coverage_vs_zero  0.000000e+00      placebo_te
         GP-CP     tau_att          att_coverage_vs_zero  1.000000e+00      placebo_te
GP-CP-Extended     tau_att          att_coverage_vs_zero  1.000000e+00      placebo_te
         FE+AR     tau_att       att_ci_width_avg_over_t  9.325243e-01      placebo_te
         GP-CP     tau_att       att_ci_width_avg_over_t  7.869746e-01      placebo_te
GP-CP-Extended     tau_att       att_ci_width_avg_over_t  1.073661e+00      placebo_te
